City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,fuglafjordur,62.244,-6.814,-3.74,63,99,7.33,FO,1707240487
298,yaren,-0.5472,166.916,28.85,72,100,5.18,NR,1707240487
299,chiang klang,19.2938,100.8617,20.38,35,0,0.52,TH,1707240487
300,puerto san jose,13.9256,-90.8244,30.52,39,0,3.22,GT,1707240487
301,takoradi,4.8845,-1.7554,28.27,65,2,5.03,GH,1707240488
302,marquette,46.5333,-87.6335,7.65,67,82,3.58,US,1707240488
303,ceeldheer,3.8488,47.1806,26.74,78,98,7.08,SO,1707240488
304,berezovyy,51.6667,135.7,-21.83,96,5,1.43,RU,1707240488
305,alofi,-19.0595,-169.9187,22.94,94,19,1.54,NU,1707240334
306,mashhad,36.297,59.6062,7.08,65,75,2.06,IR,1707240489
307,punta gorda,26.9298,-82.0454,20.0,57,0,8.75,US,1707240392
308,bamyan,34.75,67.25,-16.36,71,100,3.2,AF,1707240489
309,sirte,31.2089,16.5887,17.07,48,0,1.79,LY,1707240490
310,zliten,32.4674,14.5687,16.98,58,0,3.77,LY,1707240490
311,kas,36.2018,29.6377,15.38,65,0,3.08,TR,1707240490
312,antsiranana,-12.2787,49.2917,25.56,88,99,1.01,MG,1707240491
313,morehead city,34.7229,-76.726,12.0,59,0,12.86,US,1707240491
314,st. john's,47.5649,-52.7093,1.27,97,100,16.54,CA,1707240427
315,neya,58.2972,43.8681,-21.91,99,55,2.31,RU,1707240491
316,chinchilla,-26.75,150.6333,25.57,87,69,5.52,AU,1707240491
317,murzuq,25.9155,13.9184,15.8,30,32,3.16,LY,1707240492
318,greymouth,-42.4667,171.2,12.99,95,76,2.11,NZ,1707240492
319,lompoc,34.6391,-120.4579,12.1,67,100,2.24,US,1707240352
320,pisco,-13.7,-76.2167,28.03,65,0,6.17,PE,1707240218
321,revda,56.801,59.9303,-0.98,97,100,3.85,RU,1707240492
322,challakere,14.3167,76.65,26.68,29,0,4.35,IN,1707240493
323,salamanca,40.8333,-6.0,13.88,67,35,3.96,ES,1707240493
324,mbandjok,4.45,11.9,30.82,20,54,1.16,CM,1707240494
325,beckley,37.7782,-81.1882,9.94,57,0,3.09,US,1707240428
326,williamsburg,37.2707,-76.7075,7.88,54,3,3.58,US,1707240329
327,swift current,50.2834,-107.8014,-4.55,93,100,4.63,CA,1707240494
328,cambrils,41.0748,1.0524,13.89,76,0,2.06,ES,1707240494
329,aasiaat,68.7098,-52.8699,-22.41,81,95,5.49,GL,1707240228
330,udachny,66.4167,112.4,-24.14,99,97,1.93,RU,1707240348
331,bozova,37.3625,38.5267,10.51,71,5,3.94,TR,1707240496
332,necochea,-38.5473,-58.7368,34.68,39,50,4.46,AR,1707240296
333,road town,18.4167,-64.6167,28.05,83,75,6.69,VG,1707240496
334,dawei,14.0833,98.2,19.52,68,1,1.55,MM,1707240299
335,hilo,19.7297,-155.09,19.79,90,75,2.57,US,1707240496
